Metric,Value
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,172
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,172
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,111
design__max_fanout_violation__count__corner:min_tt_025C_1v80,128
design__max_cap_violation__count__corner:min_tt_025C_1v80,27
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.3289569820762259
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.3289569820762259
timing__hold__ws__corner:min_tt_025C_1v80,0.4160862883122711
timing__setup__ws__corner:min_tt_025C_1v80,6.39875015529245
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.416086
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,6.398750
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,172
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,1122
design__max_fanout_violation__count__corner:min_ss_100C_1v60,128
design__max_cap_violation__count__corner:min_ss_100C_1v60,148
clock__skew__worst_hold__corner:min_ss_100C_1v60,0.566724128111303
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.566724128111303
timing__hold__ws__corner:min_ss_100C_1v60,0.8089378285080634
timing__setup__ws__corner:min_ss_100C_1v60,3.40978988029464
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.808938
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,3.409790
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,172
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,13
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,128
design__max_cap_violation__count__corner:min_ff_n40C_1v95,14
clock__skew__worst_hold__corner:min_ff_n40C_1v95,0.2250104055655926
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.2250104055655926
timing__hold__ws__corner:min_ff_n40C_1v95,0.2695166388574295
timing__setup__ws__corner:min_ff_n40C_1v95,7.624054492412125
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.269517
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,7.624054
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,172
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,173
design__max_fanout_violation__count__corner:max_tt_025C_1v80,128
design__max_cap_violation__count__corner:max_tt_025C_1v80,40
clock__skew__worst_hold__corner:max_tt_025C_1v80,0.41818527602199085
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.41818527602199085
timing__hold__ws__corner:max_tt_025C_1v80,0.42724647251603964
timing__setup__ws__corner:max_tt_025C_1v80,6.251157102224565
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.427246
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,6.251157
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,172
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,2262
design__max_fanout_violation__count__corner:max_ss_100C_1v60,128
design__max_cap_violation__count__corner:max_ss_100C_1v60,274
clock__skew__worst_hold__corner:max_ss_100C_1v60,0.6920233471026898
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.6920233471026898
timing__hold__ws__corner:max_ss_100C_1v60,0.8342742288695965
timing__setup__ws__corner:max_ss_100C_1v60,1.678845554539208
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.834274
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,1.678846
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,172
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,34
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,128
design__max_cap_violation__count__corner:max_ff_n40C_1v95,21
clock__skew__worst_hold__corner:max_ff_n40C_1v95,0.290016407986545
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.290016407986545
timing__hold__ws__corner:max_ff_n40C_1v95,0.27021669000540566
timing__setup__ws__corner:max_ff_n40C_1v95,7.43399052246986
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.270217
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,7.433990
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,172
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,172
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:vccd1__corner:nom_tt_025C_1v80,1.79905
design_powergrid__drop__average__net:vccd1__corner:nom_tt_025C_1v80,1.79997
design_powergrid__drop__worst__net:vccd1__corner:nom_tt_025C_1v80,0.000945521
design_powergrid__voltage__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000942591
design_powergrid__drop__average__net:vssd1__corner:nom_tt_025C_1v80,0.0000270802
design_powergrid__drop__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000942591
design_powergrid__voltage__worst,0.000942591
design_powergrid__voltage__worst__net:vccd1,1.79905
design_powergrid__drop__worst,0.000945521
design_powergrid__drop__worst__net:vccd1,0.000945521
design_powergrid__voltage__worst__net:vssd1,0.000942591
design_powergrid__drop__worst__net:vssd1,0.000942591
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00002689999999999999994739451059100332486195839010179042816162109375
ir__drop__worst,0.00094600000000000000928424004342787156929261982440948486328125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
